Date,M3,M6,YR1,YR2,YR3,YR4,YR5,YR6,YR7,YR8,YR9,YR10,YR15,YR20,YR30
31/03/2007,5.571567971,5.641352267,5.694725618,5.678197789,5.631989667,5.579714692,5.526652991,5.472775315,5.417558405,5.361331284,5.304386325,5.249364312,5.008720894,4.793873384,4.468601575
30/04/2007,5.685887326,5.74781906,5.805685117,5.759668685,5.711197812,5.659304484,5.606143215,5.552059552,5.496947829,5.443737938,5.389921455,5.337613755,5.114600335,4.903465054,4.564047606
31/05/2007,5.767048807,5.860653545,5.956624398,6.008924199,5.974825618,5.916337142,5.849051109,5.77781094,5.708611138,5.640653207,5.574677666,5.513691763,5.24694586,4.999598994,4.6075333
30/06/2007,5.954812205,6.031347914,6.130006951,6.214378326,6.213103645,6.180371163,6.125579591,6.061827331,5.996705111,5.930500281,5.863476497,5.801370509,5.516618942,5.246425139,4.822240384
31/07/2007,5.996064869,6.055778524,6.096041878,6.101370673,6.08312118,6.043507785,5.986775163,5.923462016,5.8590801,5.790598192,5.724310229,5.662557873,5.383530329,5.137847898,4.73934797
31/08/2007,6.636992318,6.525836468,6.365977647,6.067546659,5.961022695,5.874807028,5.802463024,5.736594905,5.66853181,5.601806727,5.53698497,5.47678979,5.225563268,5.003670407,4.636137816
30/09/2007,6.254570012,6.193997993,6.010286552,5.643297446,5.570904716,5.529722462,5.494742472,5.466752074,5.437586769,5.404574159,5.373867219,5.342332599,5.158431428,4.966354797,4.63991968
31/10/2007,6.227130882,6.14564667,5.968721573,5.671796517,5.602374151,5.542026266,5.496152687,5.45151609,5.40565567,5.358910786,5.313780889,5.270877442,5.059890093,4.866267719,4.55188809
30/11/2007,6.55145218,6.240419563,5.875280635,5.433160926,5.333758483,5.280427398,5.235549316,5.202826478,5.171528498,5.136313697,5.106280981,5.078441364,4.935794629,4.812439896,4.596410382
31/12/2007,5.949144705,5.852915645,5.585764163,5.132749418,5.058566924,5.036344263,5.014908804,4.997822677,4.98275363,4.964162323,4.948064085,4.931407503,4.819615669,4.696313361,4.456911409
31/01/2008,5.540881673,5.454474984,5.226690412,4.874948016,4.86757766,4.891024229,4.905661777,4.9173404,4.923208885,4.926262442,4.929263739,4.929236557,4.854491574,4.72481589,4.486638707
29/02/2008,5.697351907,5.615015374,5.412049742,4.809843213,4.79029046,4.836252522,4.873202256,4.904376164,4.924147012,4.93850671,4.949984189,4.958592943,4.916320101,4.815049151,4.557731067
31/03/2008,5.963371132,5.887656016,5.679376403,4.994574933,4.944645416,4.928860319,4.918753755,4.912932363,4.909169825,4.901987753,4.894383219,4.883424638,4.82055063,4.714699426,4.418983012
30/04/2008,5.796556124,5.754544022,5.651624102,5.299157753,5.265566798,5.231538157,5.195967639,5.162027773,5.132847751,5.105973948,5.081140874,5.055684368,4.945231954,4.782846145,4.407048118
31/05/2008,5.810501324,5.89321589,5.969986997,5.884368467,5.838840907,5.755257517,5.664675586,5.572571943,5.490790422,5.418586143,5.354182671,5.300725498,5.086760752,4.878860504,4.404993145
30/06/2008,5.896597905,6.064081538,6.249346268,6.141157875,6.10869603,6.043538745,5.941255969,5.837157699,5.740311854,5.650898515,5.571684485,5.500575809,5.19313657,4.914601469,4.395653979
31/07/2008,5.737005554,5.884844745,5.98773309,5.498673867,5.484651238,5.461756585,5.410019758,5.351300246,5.291339036,5.239240927,5.188653594,5.140225391,4.918443428,4.662300868,4.248257241
31/08/2008,5.696003335,5.822713365,5.844682813,5.275853423,5.256141656,5.220721066,5.172392943,5.11979127,5.066200511,5.019772638,4.978420216,4.939181556,4.768520795,4.548789159,4.125626569
